artikelnr;karpi_code;omschrijving
572099999;BANG09MAATWERK;
572090008;BANG09XX020020;BANGKOK Kleur 09 CA: 020x020 cm
572090017;BANG09XX030030;BANGKOK Kleur 09 CA: 030x030 cm
572090004;BANG09XX040040;BANGKOK Kleur 09 CA: 040x040 cm
572090021;BANG09XX080150;BANGKOK Kleur 09 CA: 080x150 cm
572090006;BANG09XX080160;BANGKOK Kleur 09 CA: 080x160 cm
572090005;BANG09XX120170;BANGKOK Kleur 09 CA: 120x170 cm
572090007;BANG09XX130190;BANGKOK Kleur 09 CA: 130x190 cm
572090003;BANG09XX160230;BANGKOK Kleur 09 CA: 160x230 cm
572090016;BANG09XX200RND;BANGKOK Kleur 09 CA: 200 ROND
572090033;BANG09XX250350;BANGKOK Kleur 09 CA: 250x350 cm
572090032;BANG09XX300RND;BANGKOK Kleur 09 CA: 300 ROND
001572001;BANG12400SYN;BANGKOK KLEUR 12 400 BREED
572129999;BANG12MAATWERK;
572120011;BANG12XX020020;BANGKOK Kleur 12 CA: 020x020 cm
572120016;BANG12XX030030;BANGKOK Kleur 12 CA: 030x030 cm
572120009;BANG12XX040040;BANGKOK Kleur 12 CA: 040x040 cm
572120021;BANG12XX080150;BANGKOK Kleur 12 CA: 080x150 cm
572120007;BANG12XX080160;BANGKOK Kleur 12 CA: 080x160 cm
572120006;BANG12XX160230;BANGKOK Kleur 12 CA: 160x230 cm
572120010;BANG12XX200290;BANGKOK Kleur 12 CA: 200x290 cm
572120014;BANG12XX200RND;BANGKOK Kleur 12 CA: 200 ROND
572120015;BANG12XX250350;BANGKOK NIET GEBRUIKEN
572120033;BANG12XX250350;BANGKOK Kleur 12 CA: 250x350 cm
572120035;BANG12XX250RND;BANGKOK Kleur 12 CA: 250 ROND
572120030;BANG12XX300400;BANGKOK Kleur 12 CA: 300x400 cm
572120032;BANG12XX300RND;BANGKOK Kleur 12 CA: 300 ROND
572140001;BANG14XX040040;BANGKOK Kleur 14 CA: 040x040 cm
572160004;BANG16XX040040;BANGKOK Kleur 16 CA: 040x040 cm
572160007;BANG16XX160230;BANGKOK Kleur 16 CA: 160x230 cm
572180001;BANG18XX040040;BANGKOK Kleur 18 CA: 040x040 cm
572210015;BANG21XX060110;BANGKOK Kleur 21 CA: 060x110 cm
572210024;BANG21XX080150;BANGKOK Kleur 21 CA: 080x150 cm
572210008;BANG21XX080160;BANGKOK Kleur 21 CA: 080x160 cm
572210016;BANG21XX120170;BANGKOK Kleur 21 CA: 120x170 cm
572210007;BANG21XX160230;BANGKOK Kleur 21 CA: 160x230 cm
572210033;BANG21XX200200;BANGKOK Kleur 21 CA: 200x200 cm
572210010;BANG21XX200290;BANGKOK Kleur 21 CA: 200x290 cm
572210012;BANG21XX200RND;BANGKOK Kleur 21 CA: 200 ROND
572210032;BANG21XX250350;BANGKOK Kleur 21 CA: 250x350 cm
001572005;BANG23400SYN;BANGKOK KLEUR 23 400 BREED
572239999;BANG23MAATWERK;BANGKOK 23 MAATWERK
572230013;BANG23XX020020;BANGKOK Kleur 23 CA: 020x020 cm
